player_name,birthday,height,weight,player_api_id,date,overall_rating,potential,preferred_foot,attacking_work_rate,defensive_work_rate,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,age,brecha
Reece Oxford,1998-12-16,190.5,157,575789,2016-04-14,65.0,85.0,right,medium,medium,34.0,22.0,64.0,62.0,36.0,46.0,35.0,36.0,51.0,60.0,68.0,74.0,58.0,62.0,53.0,49.0,67.0,69.0,67.0,37.0,64.0,62.0,34.0,53.0,48.0,65.0,67.0,65.0,10.0,11.0,7.0,9.0,14.0,17,20.0
Kylian Mbappe Lottin,1998-12-20,177.8,148,701154,2016-03-10,65.0,85.0,right,medium,medium,61.0,65.0,41.0,58.0,55.0,73.0,52.0,50.0,51.0,68.0,82.0,81.0,66.0,48.0,72.0,60.0,50.0,61.0,59.0,57.0,34.0,28.0,59.0,53.0,64.0,26.0,32.0,29.0,13.0,5.0,7.0,11.0,6.0,17,20.0
Jonathan Leko,1999-04-24,182.88,141,682552,2016-05-05,65.0,84.0,right,medium,medium,39.0,66.0,64.0,53.0,50.0,66.0,46.0,34.0,41.0,63.0,89.0,91.0,73.0,58.0,69.0,66.0,65.0,72.0,67.0,57.0,30.0,16.0,60.0,53.0,78.0,20.0,17.0,23.0,6.0,12.0,11.0,8.0,9.0,17,19.0
Felix Passlack,1998-05-29,170.18,163,637753,2016-06-02,62.0,81.0,right,medium,medium,61.0,57.0,43.0,64.0,46.0,67.0,66.0,66.0,51.0,65.0,76.0,67.0,78.0,53.0,85.0,62.0,76.0,66.0,64.0,53.0,59.0,49.0,51.0,52.0,57.0,58.0,55.0,59.0,10.0,11.0,10.0,16.0,9.0,18,19.0
Christian Pulisic,1998-09-18,172.72,152,688295,2016-05-05,65.0,83.0,right,medium,medium,52.0,56.0,39.0,63.0,49.0,74.0,59.0,58.0,56.0,73.0,84.0,77.0,78.0,56.0,75.0,58.0,83.0,65.0,33.0,44.0,31.0,30.0,55.0,53.0,42.0,28.0,25.0,27.0,8.0,12.0,13.0,16.0,14.0,17,18.0
Vaclav Cerny,1997-10-17,177.8,150,623540,2016-05-05,68.0,86.0,left,medium,medium,53.0,66.0,42.0,58.0,64.0,78.0,72.0,52.0,48.0,76.0,87.0,83.0,91.0,54.0,80.0,57.0,40.0,35.0,30.0,55.0,47.0,25.0,53.0,65.0,50.0,19.0,20.0,19.0,11.0,10.0,10.0,11.0,11.0,18,18.0
Timothy Fosu-Mensah,1998-01-02,185.42,174,639058,2016-04-28,66.0,83.0,right,medium,medium,50.0,46.0,67.0,72.0,32.0,59.0,52.0,25.0,67.0,63.0,78.0,76.0,65.0,62.0,63.0,72.0,72.0,65.0,76.0,54.0,80.0,66.0,51.0,50.0,48.0,62.0,66.0,67.0,11.0,8.0,8.0,7.0,11.0,18,17.0
Adam Armstrong,1997-02-10,172.72,152,519835,2016-06-09,67.0,83.0,right,high,medium,45.0,71.0,57.0,59.0,56.0,67.0,68.0,61.0,55.0,64.0,90.0,92.0,76.0,61.0,88.0,65.0,75.0,72.0,58.0,67.0,78.0,36.0,70.0,48.0,68.0,20.0,17.0,21.0,10.0,13.0,13.0,12.0,7.0,19,16.0
Bilal Ould-Chikh,1997-07-28,167.64,132,528050,2015-11-06,67.0,83.0,left,medium,medium,58.0,56.0,30.0,61.0,60.0,80.0,73.0,60.0,45.0,75.0,81.0,78.0,82.0,66.0,92.0,73.0,70.0,51.0,40.0,66.0,30.0,20.0,58.0,68.0,56.0,19.0,26.0,22.0,7.0,8.0,8.0,12.0,9.0,18,16.0
Alban Lafont,1999-01-23,193.04,170,698273,2016-03-10,70.0,86.0,right,medium,medium,13.0,6.0,13.0,52.0,9.0,14.0,13.0,12.0,38.0,10.0,28.0,23.0,35.0,58.0,27.0,23.0,68.0,55.0,62.0,9.0,20.0,42.0,4.0,43.0,16.0,5.0,14.0,12.0,72.0,71.0,69.0,71.0,72.0,17,16.0
